player_id,session_frequency_weekly,avg_survival_time_min,kd_ratio,win_loss_streak,currency_balance_uc,lifetime_value_usd,royale_pass_tier,days_since_last_session,churned
UID_10000,19,13.788936801741416,0.2244578729645061,-2,3430,88.78717592654691,90.0,29,0
UID_10001,13,14.803922631841171,1.0204999816369815,-4,1301,6.410920124137369,46.0,1,1
UID_10002,21,,1.5041949597745463,-3,2541,2.404151962320228,15.0,24,0
UID_10003,30,,1.5375844750117935,-3,2051,24.23277114225418,98.0,17,1
UID_10004,12,5.111653160214544,1.139947622816605,-2,441 UC,1.8711771976691065,44.0,28,1
UID_10005,12,7.310874800424386,1.998279945877999,-2,2076,157.64300919405989,49.0,24,0
UID_10006,30,14.5751763360433,0.6459036564939244,4,3180,87.49414194025213,75.0,6,0
UID_10007,22,14.568929754561044,1.3860964119829653,-1,2657,80.66468861829932,61.0,23,1
UID_10008,10,14.57523843153024,1.596236505369519,-2,3798,49.682612263910606,67.0,14,1
UID_10009,20,31.26365745327361,1.9115510672469995,4,804,12.18798193755001,,10,0
UID_10010,10,14.854452553465835,2.069291902471112,2,74,36.51757453538804,9.0,17,0
UID_10011,10,17.677828200902994,0.6002863265297046,0,2175,45.47495144336951,6.0,22,1
UID_10012,17,16.770008817466014,0.2727086634115021,0,3924,37.22533973735849,73.0,11,0
UID_10013,0,15.25695625652899,2.5221414575188077,2,2089,15.071025230883158,95.0,5,1
UID_10014,0,10.423653776798272,1.7658512095836734,1,40,36.20588514489452,32.0,19,0
UID_10015,-5,15.794846102466336,0.9012107707547572,4,2081,33.783671076974784,41.0,22,0
UID_10016,4,8.13587392731214,2.7409215804180187,4,4683,280.4569322960533,76.0,29,1
UID_10017,18,10.815906966299956,1.5925397074342869,2,1622,113.86348642316143,,12,0
UID_10018,5,,2.4434377472510613,-4,341,31.12332321436137,150.0,19,0
UID_10019,0,12.409370696931612,1.5540147851280872,3,4052,48.7672006157874,50.0,15,0
UID_10020,29,23.573292833367542,3.1485983399055897,-5,2074,68.89084068275511,92.0,17,0
